nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
And Your Lips 76945.html,Floraiku,,2022.0,4.08,195,"['vanilla', 'rose', 'floral', 'citrus', 'sweet', 'aromatic', 'powdery', 'fresh spicy', 'musky', 'white floral']",female,moderate,average,overpriced,"['Jujube Blossom', 'Mandarin Orange', 'Lavender', 'Clary Sage', 'Bergamot']","['Egyptian Jasmine', 'Turkish Rose', 'Geranium']","['Tonka Bean', 'Moss', 'White Musk', 'Madagascar Vanilla']",https://www.fragrantica.com/perfume/Floraiku/And-Your-Lips-76945.html
Boyish 88790.html,Floraiku,,2023.0,3.77,30,"['citrus', 'woody', 'iris', 'powdery', 'white floral', 'fresh spicy', 'fresh', 'aromatic', 'earthy', 'violet']",unisex,,,way overpriced,"['Lemon', 'Bergamot', 'Pink Pepper']","['Lily of the Valley', 'Iris', 'Labdanum']","['Patchouli', 'Cedar', 'Amber', 'Haitian Vetiver', 'Olibanum']",https://www.fragrantica.com/perfume/Floraiku/Boyish-88790.html
Cricket Song 46163.html,Floraiku,Alienor Massenet,2017.0,3.53,438,"['floral', 'citrus', 'aromatic', 'woody', 'fresh spicy']",female,moderate,average,way overpriced,['Bergamot'],['Magnolia'],['Vetiver'],https://www.fragrantica.com/perfume/Floraiku/Cricket-Song-46163.html
First Dream of the Year 46164.html,Floraiku,Alienor Massenet,2017.0,3.64,395,"['citrus', 'white floral', 'iris', 'sweet', 'powdery']",female,moderate,average,way overpriced,['Grapefruit'],['Orange Blossom'],['Iris'],https://www.fragrantica.com/perfume/Floraiku/First-Dream-of-the-Year-46164.html
Flowers Turn Purple 52149.html,Floraiku,,2018.0,3.66,143,"['lavender', 'fresh spicy', 'aromatic', 'amber', 'herbal', 'woody', 'green']",unisex,moderate,average,way overpriced,['Basil'],['Lavender'],['Amberwood'],https://www.fragrantica.com/perfume/Floraiku/Flowers-Turn-Purple-52149.html
I See the Clouds Go By 46162.html,Floraiku,Alienor Massenet,2017.0,3.92,561,"['fruity', 'aromatic', 'fresh', 'floral', 'green', 'soft spicy', 'musky', 'woody', 'earthy', 'powdery']",female,moderate,average,way overpriced,['Cassis'],['Cherry Blossom'],['White Musk'],https://www.fragrantica.com/perfume/Floraiku/I-See-the-Clouds-Go-By-46162.html
Just A Rose 55768.html,Floraiku,,2019.0,3.92,200,"['rose', 'citrus', 'woody', 'floral', 'fresh spicy', 'aromatic']",female,moderate,average,way overpriced,['Bergamot'],['Rose'],['Guaiac Wood'],https://www.fragrantica.com/perfume/Floraiku/Just-A-Rose-55768.html
This July Evening 61620.html,Floraiku,Miroslav Petkov,2020.0,3.51,170,"['vanilla', 'herbal', 'white floral', 'floral', 'powdery', 'aromatic']",female,moderate,average,way overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/This-July-Evening-61620.html
Volcanic Flowers 67606.html,Floraiku,Alienor Massenet,2020.0,3.81,159,"['warm spicy', 'fresh spicy', 'amber', 'woody', 'aromatic', 'coffee', 'patchouli']",unisex,long lasting,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/Volcanic-Flowers-67606.html
Young at Heart 65611.html,Floraiku,,2021.0,3.55,208,"['ozonic', 'aquatic', 'fruity', 'floral', 'white floral', 'lactonic', 'soft spicy']",female,moderate,average,way overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/Young-at-Heart-65611.html
