nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Macadâmia,Natura,Verônica Kato,2012.0,3.91,345,"['citrus', 'powdery', 'sweet', 'woody', 'aromatic', 'fresh spicy', 'nutty', 'floral', 'fresh', 'white floral']",unisex,moderate,average,good value,"['Pineapple', 'Bergamot', 'Nutmeg', 'Sea Notes', 'Lemon']","['Peach', 'Peony', 'Jasmine', 'Lily-of-the-Valley', 'Violet', 'Macadamia']","['Cedar', 'Tonka Bean', 'Sandalwood', 'Musk', 'Sweet Notes']",https://www.fragrantica.com/perfume/Natura/Macadamia-33522.html
Manga Rosa e Água de Coco,Natura,Verônica Kato,2020.0,4.16,490,"['citrus', 'warm spicy', 'woody', 'fresh spicy', 'powdery', 'sweet', 'musky', 'floral', 'fresh', 'fruity']",female,weak,intimate,good value,"['Ginger', 'Yellow Fruits', 'Lemon Zest', 'Pear', 'Lemongrass', 'Pineapple', 'Neroli', 'Bergamot', 'Coconut', 'Apple', 'Cherry', 'Mandarin Orange', 'Plum', 'Pomelo', 'Melon']","['Rose Petals', 'Jasmine', 'Violet', 'Lily of the Valley', 'Hibiscus', 'Orange Blossom']","['Cedar', 'Vanilla', 'Labdanum', 'Sandalwood', 'Amber', 'Cashmeran', 'Musk']",https://www.fragrantica.com/perfume/Natura/Manga-Rosa-e-Agua-de-Coco-63430.html
Mirtilo e Framboesa,Natura,Verônica Kato,2020.0,4.07,29,"['fruity', 'sweet', 'rose', 'vanilla', 'musky', 'white floral', 'powdery', 'fresh spicy', 'aromatic']",female,weak,intimate,good value,"['Raspberry', 'Blueberry']","['Rose', 'Geranium', 'Lily']","['Musk', 'Vanilla']",https://www.fragrantica.com/perfume/Natura/Mirtilo-e-Framboesa-60681.html
Noz Pecã e Cacau,Natura,Verônica Kato,2023.0,4.23,94,"['nutty', 'floral', 'cacao', 'woody', 'sweet', 'warm spicy']",female,weak,average,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Noz-Peca-e-Cacau-79787.html
Noz Pecã e Karité,Natura,Verônica Kato,2016.0,4.04,46,"['nutty', 'fruity', 'almond', 'woody', 'floral', 'sweet', 'lactonic']",unisex,weak,intimate,great value,"['Walnut', 'Almond']","['Fruity Notes', 'Butter']","['Floral Notes', 'Woody Notes']",https://www.fragrantica.com/perfume/Natura/Noz-Peca-e-Karite-56452.html
Pêssego e Flor de Pera,Natura,Verônica Kato,2021.0,4.0,47,"['fruity', 'floral', 'sweet']",female,moderate,average,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Pessego-e-Flor-de-Pera-65296.html
Romã e Flor de Amora,Natura,Verônica Kato,2024.0,4.35,108,"['caramel', 'fruity', 'woody', 'floral', 'white floral', 'sweet', 'fresh spicy', 'sour']",female,moderate,average,good value,['Pomegranate'],"['Blackberry Blossom', 'Jasmine']",['Caramel'],https://www.fragrantica.com/perfume/Natura/Roma-e-Flor-de-Amora-89940.html
Tâmara e Canela,Natura,Verônica Kato,2020.0,4.17,222,"['sweet', 'fruity', 'cherry']",female,moderate,average,good value,"['Pineapple', 'Sichuan Pepper', 'Apple', 'Sour Cherry', 'Raspberry']","['Cinnamon', 'Iris', 'Cherry Blossom', 'Violet']","['Patchouli', 'Vanilla', 'Dates', 'Amber', 'Musk', 'Sweet Notes']",https://www.fragrantica.com/perfume/Natura/Tamara-e-Canela-61178.html
Tangerina e Cardamomo,Natura,Verônica Kato,2021.0,4.38,8,"['citrus', 'warm spicy', 'green', 'aromatic', 'fruity', 'sweet']",,,,,[],[],[],https://www.fragrantica.com/perfume/Natura/Tangerina-e-Cardamomo-71655.html
Uva Rosa e Romã,Natura,Verônica Kato,2022.0,4.15,27,"['vanilla', 'fruity', 'sweet', 'floral', 'rose', 'powdery', 'woody']",female,weak,average,good value,"['Grapes', 'Rose', 'Pomegranate']",['Floral Notes'],['Vanilla'],https://www.fragrantica.com/perfume/Natura/Uva-Rosa-e-Roma-77986.html
